Op	M	K	N	Transpose A	Transpose B	TotalTime(us)	MatmulTime(us)	AllGatherTime(us)	ÑÚ¸Ç¶È
AllGatherMatmulDequantFixPipe	640	8192	1280	0	1	482.8098333	199.842375	444.437125	0.807985127
AllGatherMatmulDequantFixPipe	640	8192	5120	0	1	765.0258333	734.9205417	471.2758333	0.936119594
AllGatherMatmulDequantFixPipe	640	16384	1696	0	1	1076.831125	688.690375	830.7263333	0.642648132
AllGatherMatmulDequantFixPipe	640	32256	7936	0	1	4977.093875	4302.555625	1961.803125	0.656164147
AllGatherMatmulDequantFixPipe	672	2048	14336	0	1	611.579375	608.8826667	163.2255417	0.983478638
AllGatherMatmulDequantFixPipe	683	6144	8192	0	1	1025.556167	1002.065083	380.2083333	0.938215233
AllGatherMatmulDequantFixPipe	768	3840	18432	0	1	1650.576167	1631.351583	328.7717083	0.941526041
AllGatherMatmulDequantFixPipe	768	6144	8192	0	1	1061.601417	1034.933583	405.8544583	0.934292127
AllGatherMatmulDequantFixPipe	768	16384	1696	0	1	1194.694	783.26625	963.9497917	0.705407697
AllGatherMatmulDequantFixPipe	832	2048	17920	0	1	931.11875	921.5798333	143.653375	0.933597685
AllGatherMatmulDequantFixPipe	864	4096	12288	0	1	1271.603625	1247.083958	496.7737917	0.95064219
AllGatherMatmulDequantFixPipe	864	12288	4096	0	1	1290.158292	1266.401208	881.4630833	0.973048124
AllGatherMatmulDequantFixPipe	1024	1280	8192	0	1	370.8254583	363.2769167	144.1690833	0.947641051
AllGatherMatmulDequantFixPipe	1024	1536	6144	0	1	287.526625	277.3509583	199.5407083	0.949004558
AllGatherMatmulDequantFixPipe	1024	3840	5120	0	1	624.5140833	591.6980417	466.7335417	0.929689986
AllGatherMatmulDequantFixPipe	1024	6656	4480	0	1	853.5026667	775.4681667	446.169625	0.825101272
AllGatherMatmulDequantFixPipe	1024	6656	4992	0	1	937.5694583	853.185875	449.4421667	0.812248183
AllGatherMatmulDequantFixPipe	1024	7808	12288	0	1	2969.786375	2897.91425	691.4845833	0.896061132
AllGatherMatmulDequantFixPipe	1024	11008	4096	0	1	1348.023083	1310.188625	1018.51975	0.962853486
AllGatherMatmulDequantFixPipe	1024	12288	1536	0	1	1067.806333	566.63675	1008.227375	0.894855111
AllGatherMatmulDequantFixPipe	1024	12288	3904	0	1	1496.653	1407.126167	1264.822042	0.929217842
AllGatherMatmulDequantFixPipe	1024	12288	4608	0	1	1713.595	1667.848333	1252.785583	0.963484041
AllGatherMatmulDequantFixPipe	1024	16384	1024	0	1	1382.645792	755.2151667	1301.530542	0.892593193
AllGatherMatmulDequantFixPipe	1216	23296	9472	0	1	7574.871	6976.467125	2515.011042	0.762067098
AllGatherMatmulDequantFixPipe	1280	128	16	0	1	40.480125	15.57891667	33.193625	0.532284551
AllGatherMatmulDequantFixPipe	1280	2048	1280	0	1	255.99125	101.3957083	229.67675	0.740477182
AllGatherMatmulDequantFixPipe	1280	2048	5120	0	1	407.3244583	382.4916667	273.141	0.90908435
AllGatherMatmulDequantFixPipe	1344	17152	7168	0	1	5266.303042	5071.030583	1636.828	0.880700686
AllGatherMatmulDequantFixPipe	1354	6144	1408	0	1	736.0937083	322.2959583	622.91825	0.648846176
AllGatherMatmulDequantFixPipe	1536	6912	4096	0	1	1278.8785	1232.481	947.7292917	0.95104351
AllGatherMatmulDequantFixPipe	1536	8192	1536	0	1	1078.852042	513.7860417	901.9717083	0.655731532
AllGatherMatmulDequantFixPipe	1664	9984	10752	0	1	5231.609375	5177.496083	1250.60475	0.956730301
AllGatherMatmulDequantFixPipe	1664	15616	8192	0	1	6413.087833	6168.871292	1434.10825	0.829708433
AllGatherMatmulDequantFixPipe	1792	9984	10752	0	1	5622.913333	5529.62675	1321.989375	0.929434695
AllGatherMatmulDequantFixPipe	1920	2816	13056	0	1	1956.183333	1889.719583	747.7802917	0.911118612
AllGatherMatmulDequantFixPipe	1984	12544	6656	0	1	5173.91125	5200.366083	3402.097125	1.007776037
AllGatherMatmulDequantFixPipe	2036	5120	1696	0	1	793.8877083	580.2232083	639.2087917	0.733414806
AllGatherMatmulDequantFixPipe	2048	1	16	0	1	54.45233333	29.810375	40.50425	0.532106411
AllGatherMatmulDequantFixPipe	2048	1024	8192	0	1	535.9873333	539.287375	257.3046667	1.012825425
AllGatherMatmulDequantFixPipe	2048	1376	4096	0	1	410.247	388.313125	263.88875	0.916882114
AllGatherMatmulDequantFixPipe	2048	1708	5120	0	1	675.384125	642.8262083	382.3033333	0.914837476
AllGatherMatmulDequantFixPipe	2048	4096	27392	0	1	6093.621792	5848.673625	1040.777667	0.764648902
AllGatherMatmulDequantFixPipe	2048	5120	5120	0	1	1536.449792	1521.074125	897.8851667	0.982875687
AllGatherMatmulDequantFixPipe	2048	5504	8192	0	1	2678.283958	2676.939083	1334.839083	0.998992482
AllGatherMatmulDequantFixPipe	2048	6656	6656	0	1	2628.917417	2573.26	728.1314167	0.923561303
AllGatherMatmulDequantFixPipe	2048	6912	4096	0	1	1703.278625	1622.165042	839.1778333	0.903341604
AllGatherMatmulDequantFixPipe	2048	8192	1024	0	1	1301.704667	495.4463333	1152.719875	0.699291767
AllGatherMatmulDequantFixPipe	2048	12544	6656	0	1	5236.881125	5165.292542	1333.53675	0.946316753
AllGatherMatmulDequantFixPipe	2048	27392	4096	0	1	7812.786875	7268.278958	3658.224375	0.851155134
AllGatherMatmulDequantFixPipe	2240	2048	6656	0	1	930.922125	884.2278333	380.3518333	0.877233951
AllGatherMatmulDequantFixPipe	2816	677	256	0	1	187.9950833	32.59354167	187.4841667	0.984324604
AllGatherMatmulDequantFixPipe	2955	4096	4096	0	1	1488.469833	1411.293625	1189.35925	0.935111104
AllGatherMatmulDequantFixPipe	2955	4096	12288	0	1	4319.503708	4317.252917	946.398375	0.997621729
AllGatherMatmulDequantFixPipe	2955	4096	16384	0	1	5879.3715	5849.241125	1054.813125	0.971435343
AllGatherMatmulDequantFixPipe	2955	12288	4096	0	1	4505.172167	4411.142792	2824.190625	0.966705727
