m,k,n,总时间(us),matmul,allgather,掩盖度
4096,8192,1280,1773.4245,1152.53,1666.9965,0.907657067
4096,8192,2752,3085.518,2880.96,1678.4665,0.878128041
4096,8192,3072,3010.89,2882.19,1661.2265,0.922527121
4096,8192,4096,3841.533,3684.416,1658.7765,0.905281393
16384,128,128,490.61,53.199,488.46,0.959585706
16384,128,1024,557.739,241.095,487.5105,0.708710259
16384,1024,128,885.8325,109.998,874.4125,0.896179931
16384,8192,3072,11891.9825,11553.2095,6563.559,0.948385777
24000,50,3840,1247.785,1139.02,696.396,0.843817311
24640,77,2560,998.77,815.07,719.7255,0.744763802
65536,128,128,1812.0535,121.18,1793.2945,0.845197227
