Op	M	K	N	Transpose A	Transpose B	TotalTime(us)	MatmulTime(us)	AllGatherTime(us)	ÑÚ¸Ç¶È
AllGatherMatmulDequant	683	6144	8192	0	1	1132.7685	1039.510917	453.9820833	0.794578714
AllGatherMatmulDequant	768	3840	18432	0	1	1796.28025	1679.498125	296.2280833	0.605769569
AllGatherMatmulDequant	768	6144	8192	0	1	1161.081375	1064.953125	474.0625	0.797224522
AllGatherMatmulDequant	768	16384	1696	0	1	1628.30825	1253.942167	917.190625	0.59183394
AllGatherMatmulDequant	832	2048	17920	0	1	1096.034125	1004.125667	163.77875	0.438825499
AllGatherMatmulDequant	864	4096	12288	0	1	1415.161875	1328.17925	412.5544583	0.789160865
AllGatherMatmulDequant	864	12288	4096	0	1	1489.905583	1315.516208	863.979	0.79815554
AllGatherMatmulDequant	1024	1280	8192	0	1	372.0484583	347.3447083	178.1778333	0.861353404
AllGatherMatmulDequant	1024	1536	6144	0	1	326.4984167	295.1414167	196.9606667	0.840795624
AllGatherMatmulDequant	1024	3840	5120	0	1	670.9766667	592.642375	562.3392917	0.860699238
AllGatherMatmulDequant	1024	6656	4480	0	1	1161.191375	1016.655583	413.9769583	0.650860298
AllGatherMatmulDequant	1024	6656	4992	0	1	1273.416875	1117.428792	422.5667917	0.630855793
AllGatherMatmulDequant	1024	7808	12288	0	1	3193.146625	2952.492458	661.0992083	0.63597874
AllGatherMatmulDequant	1024	11008	4096	0	1	1494.409625	1262.602875	731.1847083	0.682971009
AllGatherMatmulDequant	1024	12288	1536	0	1	1070.261292	516.3775833	949.8259167	0.766768778
AllGatherMatmulDequant	1024	12288	3904	0	1	2768.494083	2409.508708	921.6380833	0.610492034
AllGatherMatmulDequant	1024	12288	4608	0	1	1745.27275	1538.97975	1003.168292	0.794358532
AllGatherMatmulDequant	1024	16384	1024	0	1	1371.42525	543.7989167	1235.651708	0.750323994
AllGatherMatmulDequant	1216	23296	9472	0	1	9272.45625	8690.533	1813.275083	0.679076134
AllGatherMatmulDequant	1280	128	16	0	1	87.290125	67.378875	41.76083333	0.523207551
AllGatherMatmulDequant	1280	2048	1280	0	1	269.19775	114.1337917	239.2950833	0.738003389
AllGatherMatmulDequant	1280	2048	5120	0	1	460.4135417	414.6744167	364.1470417	0.874393803
AllGatherMatmulDequant	1344	17152	7168	0	1	5757.057708	5269.6245	1496.045458	0.674185563
AllGatherMatmulDequant	1354	6144	1408	0	1	789.813	459.366125	702.1785833	0.809227516
AllGatherMatmulDequant	1536	6912	4096	0	1	1375.475208	1212.351333	713.1233333	0.77125433
AllGatherMatmulDequant	1536	8192	1536	0	1	1108.854917	527.346625	996.2859583	0.786537065
AllGatherMatmulDequant	1664	9984	10752	0	1	5766.095833	5341.888458	1319.601917	0.678533829
AllGatherMatmulDequant	1664	15616	8192	0	1	6750.910417	6189.205875	1482.319875	0.62106388
AllGatherMatmulDequant	1792	9984	10752	0	1	6178.566917	5758.566167	1355.970458	0.690258186
AllGatherMatmulDequant	1920	2816	13056	0	1	2251.16475	2161.248792	510.4644583	0.823854615
AllGatherMatmulDequant	1984	12544	6656	0	1	5226.5785	5022.211333	1485.653208	0.862439521
AllGatherMatmulDequant	2036	5120	1696	0	1	1205.923042	1062.908042	902.3117083	0.841501558
AllGatherMatmulDequant	2048	1	16	0	1	39.6835	11.35141667	36.34108333	0.705550702
AllGatherMatmulDequant	2048	1024	8192	0	1	619.5925833	591.9312917	425.8467917	0.935044029
AllGatherMatmulDequant	2048	1376	4096	0	1	442.7773333	377.4492083	270.6419583	0.758617897
AllGatherMatmulDequant	2048	1708	5120	0	1	710.8958333	575.32425	360.305375	0.623731444
AllGatherMatmulDequant	2048	4096	27392	0	1	7195.20175	6919.0665	668.5825	0.58698403
AllGatherMatmulDequant	2048	5120	5120	0	1	1709.512667	1557.727	999.4309167	0.848127905
AllGatherMatmulDequant	2048	5504	8192	0	1	2796.304458	2655.646042	861.8790833	0.83680029
AllGatherMatmulDequant	2048	6656	6656	0	1	2772.782458	2676.302583	862.2515833	0.888107048
AllGatherMatmulDequant	2048	6912	4096	0	1	1791.934417	1622.993208	981.077	0.827800256
AllGatherMatmulDequant	2048	8192	1024	0	1	1352.158917	503.1869167	1138.841667	0.576067575
AllGatherMatmulDequant	2048	12544	6656	0	1	5437.681625	5103.555708	2100.889917	0.840959817
AllGatherMatmulDequant	2048	27392	4096	0	1	8471.876	7346.281833	3939.449458	0.714276277
AllGatherMatmulDequant	2240	2048	6656	0	1	1038.766	998.0866667	633.89475	0.93582636
AllGatherMatmulDequant	2816	677	256	0	1	194.9507083	26.42866667	183.7435	0.575944997
AllGatherMatmulDequant	2955	4096	4096	0	1	1642.817875	1496.165417	1218.43375	0.879638546
AllGatherMatmulDequant	2955	4096	12288	0	1	4741.068792	4684.925458	1104.754875	0.94918028
AllGatherMatmulDequant	2955	4096	16384	0	1	6322.796083	6181.384333	1180.706917	0.880231285
AllGatherMatmulDequant	2955	12288	4096	0	1	4846.345292	4431.095042	3272.043625	0.873091469
AllGatherMatmulDequant	2955	16384	4096	0	1	6751.593833	6267.212583	4281.545958	0.886867675
AllGatherMatmulDequant	3072	17920	6656	0	1	12069.74713	11030.95158	2763.0675	0.624042648
AllGatherMatmulDequant	3584	128	16	0	1	192.6699583	159.1847083	64.74633333	0.482823995
AllGatherMatmulDequant	3840	512	6144	0	1	546.2549167	515.47925	266.76525	0.884633899
AllGatherMatmulDequant	4096	128	128	0	1	66.608875	14.03145833	67.13054167	1.037178364
AllGatherMatmulDequant	4096	1024	1024	0	1	319.5070417	148.174125	279.9785417	0.733229402
AllGatherMatmulDequant	4096	2560	5120	0	1	1751.521833	1659.356875	604.4877917	0.847532143
AllGatherMatmulDequant	4096	3424	8192	0	1	3602.072833	3525.194292	1122.398708	0.931505141
AllGatherMatmulDequant	4096	4096	16	0	1	1984.672792	1089.130042	1176.171083	0.257662834
AllGatherMatmulDequant	4096	4096	8192	0	1	4196.660792	3967.6165	1795.273667	0.872418174
AllGatherMatmulDequant	4096	5120	640	0	1	1314.272042	537.4597917	1240.080083	0.861958123
AllGatherMatmulDequant	4096	5120	2560	0	1	1760.868333	1551.682792	1521.060875	0.862473919
AllGatherMatmulDequant	4096	5504	8192	0	1	5599.552958	5372.287875	4434.969125	0.948756107
AllGatherMatmulDequant	4096	8192	1024	0	1	2518.592708	953.6091667	2425.27925	0.902147062
AllGatherMatmulDequant	4096	8192	1280	0	1	2593.698875	1371.1185	2269.467833	0.763528067
AllGatherMatmulDequant	4096	8192	2752	0	1	5046.10675	4678.706583	2857.13825	0.871409734
AllGatherMatmulDequant	4096	8192	3072	0	1	3251.866458	2907.229917	2663.617583	0.870613355
AllGatherMatmulDequant	4096	8192	4096	0	1	4188.789333	3961.518125	3072.33625	0.926026584
AllGatherMatmulDequant	16384	128	128	0	1	202.7747917	30.16029167	199.4948333	0.891249118
AllGatherMatmulDequant	16384	128	1024	0	1	324.7618333	247.0415	264.0820417	0.754374096
AllGatherMatmulDequant	16384	1024	128	0	1	993.2659167	75.23625	979.8495	0.821676165
AllGatherMatmulDequant	16384	8192	3072	0	1	12453.24563	12166.00396	10660.59446	0.973055755
AllGatherMatmulDequant	24000	50	3840	0	1	1291.225833	1326.296	619.4525	1.056614779
AllGatherMatmulDequant	24640	77	2560	0	1	978.8054167	950.9092083	588.8822083	0.952628543
AllGatherMatmulDequant	65536	128	128	0	1	768.3340833	100.7732083	760.7784583	0.925023475
